Season/Team,player_id,season_starts,average_location,player_from,row_id,is_goalie,x_pos_abs,y_pos_abs,x_pos_perc,y_pos_perc,name
La Liga 2006/2007 Barcelona,20176,26,"[12.457487922705308, 41.81787439613525]",Víctor Valdés Arribas,0,1,12.457487922705308,41.81787439613525,0.10381239935587756,0.5227234299516906,Víctor Valdés Arribas
La Liga 2006/2007 Barcelona,20125,23,"[37.96269531250002, 30.09843749999999]",Carles Puyol i Saforcada,1,0,37.96269531250002,30.09843749999999,0.3163557942708335,0.3762304687499999,Carles Puyol i Saforcada
La Liga 2006/2007 Barcelona,5503,23,"[75.86988636363634, 51.0440340909091]",Lionel Andrés Messi Cuccittini,2,0,75.86988636363634,51.0440340909091,0.6322490530303029,0.6380504261363638,Lionel Andrés Messi Cuccittini
La Liga 2006/2007 Barcelona,25879,23,"[72.29072681704261, 27.31804511278195]",Ronaldo de Assis Moreira,3,0,72.29072681704261,27.31804511278195,0.6024227234753551,0.34147556390977435,Ronaldo de Assis Moreira
La Liga 2006/2007 Barcelona,20131,22,"[58.79875311720693, 45.45374064837906]",Xavier Hernández Creus,4,0,58.79875311720693,45.45374064837906,0.48998960931005775,0.5681717581047383,Xavier Hernández Creus
La Liga 2006/2007 Barcelona,15774,21,"[51.58337801608577, 56.95093833780166]",Gianluca Zambrotta,5,0,51.58337801608577,56.95093833780166,0.4298614834673814,0.7118867292225207,Gianluca Zambrotta
La Liga 2006/2007 Barcelona,19757,21,"[63.57812499999997, 33.80243055555558]",Anderson Luís de Souza,6,0,63.57812499999997,33.80243055555558,0.5298177083333331,0.42253038194444476,Anderson Luís de Souza
La Liga 2006/2007 Barcelona,5216,20,"[56.21435331230283, 38.363091482649835]",Andrés Iniesta Luján,7,0,56.21435331230283,38.363091482649835,0.46845294426919026,0.4795386435331229,Andrés Iniesta Luján
La Liga 2006/2007 Barcelona,15071,18,"[34.90507726269319, 51.78697571743927]",Lilian Thuram,8,0,34.90507726269319,51.78697571743927,0.2908756438557766,0.6473371964679908,Lilian Thuram
La Liga 2006/2007 Barcelona,19298,17,"[77.00602409638556, 34.99397590361444]",Samuel Eto''o Fils,9,0,77.00602409638556,34.99397590361444,0.6417168674698797,0.43742469879518053,Samuel Eto''o Fils
La Liga 2006/2007 Barcelona,17797,15,"[53.05326086956522, 12.144927536231886]",Giovanni van Bronckhorst,10,0,53.05326086956522,12.144927536231886,0.44211050724637685,0.15181159420289858,Giovanni van Bronckhorst
La Liga 2006/2007 Barcelona,1111111111,26,"[120, 40]",Shot,11,0,120.0,40.0,1.0,0.5,Shot
